x[m]	rho[kg/m3]	u[m/s]	p[Pa]	T[K]	P_r[m]	P_u[m/s]	P_T[K]	P_N[-]
0.0220441	12.2741	13.2847	2.93116e+06	529.507	0	0	0	0
0.0225451	12.0378	13.2878	2.93116e+06	539.904	0	0	0	0
0.0230461	11.7983	13.2909	2.93115e+06	550.86	0	0	0	0
0.0235471	11.5558	13.2942	2.93115e+06	562.419	0	0	0	0
0.0240481	11.3102	13.2977	2.93115e+06	574.634	0	0	0	0
0.0245491	11.0614	13.3015	2.93116e+06	587.559	0	0	0	0
0.0250501	10.8094	13.3061	2.93116e+06	601.257	0	0	0	0
0.0255511	10.5542	13.312	2.93118e+06	615.799	0	0	0	0
0.0260521	10.2958	13.3205	2.93121e+06	631.265	0	0	0	0
0.0265531	10.034	13.3337	2.93127e+06	647.744	0	0	0	0
0.0270541	9.76906	13.3561	2.93138e+06	665.338	0	0	0	0
0.0275551	9.50092	13.3964	2.93159e+06	684.165	0	0	0	0
0.0280561	9.22979	13.4717	2.93199e+06	704.359	0	0	0	0
0.0285571	8.95606	13.6165	2.93277e+06	726.08	0	0	0	0
0.0290581	8.68053	13.901	2.9343e+06	749.517	0	0	0	0
0.0295591	8.4048	14.4701	2.93733e+06	774.905	0	0	0	0
0.0300601	8.13211	15.627	2.9434e+06	802.545	0	0	0	0
0.0305611	7.86673	17.4081	2.94588e+06	830.318	0	0	0	0
0.0310621	7.61168	19.5358	2.94643e+06	858.298	0	0	0	0
0.0315631	7.36815	21.8544	2.94594e+06	886.52	0	0	0	0
0.0320641	7.13635	24.2774	2.94492e+06	914.998	0	0	0	0
0.0325651	6.91604	26.7573	2.94362e+06	943.73	0	0	0	0
0.0330661	6.70675	29.2681	2.9422e+06	972.711	0	0	0	0
0.0335671	6.50792	31.796	2.94073e+06	1001.93	0	0	0	0
0.0340681	6.31896	34.3336	2.93924e+06	1031.37	0	0	0	0
0.0345691	6.13931	36.8771	2.93775e+06	1061.01	0	0	0	0
0.0350701	5.96843	39.4243	2.93628e+06	1090.84	0	0	0	0
0.0355711	5.80581	41.9742	2.93481e+06	1120.83	0	0	0	0
0.0360721	5.65099	44.5264	2.93337e+06	1150.98	0	0	0	0
0.0365731	5.50353	47.0805	2.93194e+06	1181.24	0	0	0	0
0.0370741	5.36303	49.6364	2.93053e+06	1211.6	0	0	0	0
0.0375752	5.22914	52.194	2.92914e+06	1242.03	0	0	0	0
0.0380762	5.10151	54.7533	2.92776e+06	1272.51	0	0	0	0
0.0385772	4.97984	57.3144	2.92639e+06	1302.99	0	0	0	0
0.0390782	4.86386	59.8771	2.92504e+06	1333.44	0	0	0	0
0.0395792	4.75332	62.4416	2.92371e+06	1363.83	0	0	0	0
0.0400802	4.64798	65.0077	2.92238e+06	1394.11	0	0	0	0
0.0405812	4.54766	67.5756	2.92107e+06	1424.22	0	0	0	0
0.0410822	4.45218	70.1451	2.91977e+06	1454.12	0	0	0	0
0.0415832	4.36139	72.7163	2.91848e+06	1483.73	0	0	0	0
0.0420842	4.27517	75.2893	2.9172e+06	1512.99	0	0	0	0
0.0425852	4.19341	77.864	2.91593e+06	1541.82	0	0	0	0
0.0430862	4.11606	80.4404	2.91468e+06	1570.12	0	0	0	0
0.0435872	4.04307	83.0185	2.91343e+06	1597.78	0	0	0	0
0.0440882	3.97441	85.5983	2.9122e+06	1624.69	0	0	0	0
0.0445892	3.91013	88.1799	2.91097e+06	1650.71	0	0	0	0
0.0450902	3.85025	90.7631	2.90976e+06	1675.68	0	0	0	0
0.0455912	3.79489	93.3481	2.90856e+06	1699.42	0	0	0	0
0.0460922	3.74418	95.9348	2.90737e+06	1721.74	0	0	0	0
0.0465932	3.6983	98.523	2.90619e+06	1742.39	0	0	0	0
0.0470942	3.65749	101.112	2.90502e+06	1761.12	0	0	0	0
0.0475952	3.62205	103.701	2.90385e+06	1777.64	0	0	0	0
0.0480962	3.59235	106.286	2.90268e+06	1791.62	0	0	0	0
0.0485972	3.56878	108.849	2.90145e+06	1802.68	0	0	0	0
0.0490982	3.55173	111.342	2.89997e+06	1810.41	0	0	0	0
0.0495992	3.54129	113.594	2.89765e+06	1814.3	0	0	0	0
0.0501002	3.53628	115.046	2.89251e+06	1813.64	0	0	0	0
0.0506012	3.53433	115.633	2.89044e+06	1813.34	0	0	0	0
0.0511022	3.53361	115.871	2.8896e+06	1813.19	0	0	0	0
0.0516032	3.53338	115.969	2.88926e+06	1813.09	0	0	0	0
0.0521042	3.53335	116.011	2.88912e+06	1813.02	0	0	0	0
0.0526052	3.5334	116.029	2.88906e+06	1812.96	0	0	0	0
0.0531062	3.53349	116.039	2.88904e+06	1812.9	0	0	0	0
0.0536072	3.53359	116.044	2.88903e+06	1812.84	0	0	0	0
0.0541082	3.53369	116.049	2.88902e+06	1812.78	0	0	0	0
0.0546092	3.5338	116.052	2.88902e+06	1812.72	0	0	0	0
0.0551102	3.53391	116.055	2.88901e+06	1812.67	0	0	0	0
0.0556112	3.53402	116.059	2.88901e+06	1812.61	0	0	0	0
0.0561122	3.53413	116.062	2.88901e+06	1812.55	0	0	0	0
0.0566132	3.53425	116.065	2.88901e+06	1812.49	0	0	0	0
0.0571142	3.53436	116.068	2.889e+06	1812.43	0	0	0	0
0.0576152	3.53447	116.071	2.889e+06	1812.37	0	0	0	0
0.0581162	3.53459	116.074	2.889e+06	1812.31	0	0	0	0
0.0586172	3.5347	116.078	2.889e+06	1812.25	0	0	0	0
0.0591182	3.53481	116.081	2.88899e+06	1812.19	0	0	0	0
0.0596192	3.53493	116.084	2.88899e+06	1812.13	0	0	0	0
0.0601202	3.53505	116.087	2.88899e+06	1812.07	0	0	0	0
0.0606212	3.53516	116.09	2.88899e+06	1812	0	0	0	0
0.0611222	3.53528	116.093	2.88898e+06	1811.94	0	0	0	0
0.0616232	3.5354	116.096	2.88898e+06	1811.88	0	0	0	0
0.0621242	3.53552	116.1	2.88898e+06	1811.82	0	0	0	0
0.0626253	3.53564	116.103	2.88897e+06	1811.75	0	0	0	0
0.0631263	3.53576	116.106	2.88897e+06	1811.69	0	0	0	0
0.0636273	3.53588	116.109	2.88897e+06	1811.63	0	0	0	0
0.0641283	3.536	116.112	2.88897e+06	1811.56	0	0	0	0
0.0646293	3.53612	116.115	2.88896e+06	1811.5	0	0	0	0
0.0651303	3.53624	116.118	2.88896e+06	1811.44	0	0	0	0
